product_name;EAN13
A.N.D. 100 Défenses Naturelles 30 ml;3760112260095
A.N.D. 101 Détox - Foie, pancréas 30 ml;3760112260118
A.N.D. 102 Croissance Assimilation 30 ml;3760112260194
A.N.D. 103 Stress Concours Transport 30 ml;3760112260088
A.N.D. 105 Parasitisme: immunité naturelle 30 ml;3760112260125
A.N.D. 109 Flore intestinale 30 ml;3760112260132
A.N.D. 119 Beauté du Poil 30 ml;3760112260071
A.N.D. 128 Equilibre Rénal;3760112260101
A.N.D. 185 Articulation Souplesse 30 ml;3760112260064
Abcedyl GA 1 L;
Abcedyl GA 125 ml;
Abcedyl PA 30 ml;
Achille Millefeuille 1 kg;3760268171672
Actea Oto 15 ml;
Actéa Buccal 15 ml;
Agepi w3 60 capsules;3401144846443
Ail 1 kg;3701458821984
Air + 250 ml;3760268170231
Alchémille 500 ml;3401543689030
Alcool Modifié 70° 5 L;
Alfalfa 500 ml;3401543689269
AlgaTonix 1,5 kg;
Algomax 1 L;3760268173386
Algues Marines 1 kg;3760268170972
AllergoDerm 210 g;3700215100317
Aloe Vera - Jus Concentré 1 L;
Anibidiol 5 g;7640179470148
Anijszaad 1 kg;8719324584913
Animalintex 3 pièces;5010058087194
Animaloé 60 g;3701157600002
Anis Vert d'Espagne 1 kg;3701468821656
Antalzen 100 ml;08422320311154
Anti-Ageing 230 cp;
Anti-Ageing 60 cp;
Anti-Ox 230 cp;
Anticox-HD Ultra 160 gélules;3700215102229
Antiphlogistine 1,5 kg;3661716109080
Argent Colloïdal 500 ml;3760029855131
Armoise Commune 1 kg;3160268170743
Arnica - Teinture mère 500 ml;3760268173393
Arnica Leg Gel 500 g;3661716109011
Arnicagel + 500 ml;3401146979378
AromaCalm Chat 35 cm;3760098110292
AromaCalm Chien 60 cm;
Art Phyton 190 g;
Arthrovet 180 cp;3401160200410
Artichaud 1 kg;3760268170750
Artichaut 500 ml;3401543689320
Aspirine 50 Coophavet 1 kg;
Astragale 500 ml;3401560245745
Atop 7 Hydra Cream 50 ml;3760098110490
Atop 7 Mousse 150 ml;3760098110568
Atop 7 Shampoo 200 ml;3760098110496
Atropine Alcon 1% Collyre;3400930853627
Aubebine 1 kg;3760268170767
Aubépine 500 ml;3401543689498
Aureomycine Comprimé;
Avoine 500 ml;3401543696014
B-Complete 1 L;
Bacticrin 500 ml;3760268175687
Ballote (Marrube Noir) 1 kg;3701468802228
Balsabaume 250 ml;3401177501357
Balsamic Air 1L;3515650300303
Balsamic Control 1 kg;3515651901905
Balsasyrup 500 ml;3401177501418
Bambou 1 kg;3760268173515
Bande Pied (duct tape);
Bande de Crêpe 4 m x 10 cm;
Bardane 1 kg;3760268170781
Bardane 500 ml;3401543688149
Barf Junior 300 g;3700215100355
Baytril 10 % 100 ml;
Betadine 10 % Gel 30 g;3400931988014
Bio Balm 200 ml;3760098110445
BioBalm SOS Peau Sèche 50 ml;3760098110209
Biodyl 50 ml;
Biotine Avec Zinc 140 g;3700215100720
Biotine Avec Zinc 260 g;3700215100737
Biotinol;3760174590093
Biotinum 900 g;3515652190001
Bioveine Calcium G.M.C. 500 ml;
Blue Eye 150 ml;3760268173126
Bo Yea Sacc Ultra 600 g;3515652702709
Bonutron Start 3 x 15 ml;3515656226225
Borgal 24 % 100 ml;
Borgal 24 % 250 ml;
Bouillon Blanc 1 kg;3760268170798
Bronchopulm Liquide 500 ml;3760268175090
Bronchoryl 125 ml;
Bronchoryl 1L;
Buccanima 50 ml;3701157600071
Busserole 500 ml;3401543689559
Butador 10 ml;
Butox 50 pour mille 50 ml;
CalmDerm 200 ml;3401562446195
Calmagine 100 ml;
Calmivet Solution injectable 50 ml;
Camomille Matricaire 1 kg;3760268170828
Caniplasine 100 cp;8719324935326
Canneberge 500 ml;3401548035818
CapsaBlock 200 g;3661716409012
CapsiBlist 250 ml;3401197017500
Caralluma 500 ml;3401547003900
Carbesia 100 ml;
Carbo-Top 1 kg;3401179442764
Carbo-Top 4 kg;3401570919742
Carbo-Top Poudre 2 kg;
Carbocare 500 g;
Carbocare Seringue 60 ml;
Carbovital 125 ml;3700545300630
Cardio Supp 230 Cp;
Cardio Supp 60 cp;
Cardiophytol 30 cp;3760235630423
Cassis 500 ml;3401543692979
Cassis Feuilles 1 kg;360268171986
Catosal 250 ml;
Centrauréo Comprimé;
Chardon Marie 500 ml;3401560771336
Chardon-Marie 1 kg;3760268170835
Chicoree 1 kg;3760268171955
Chili Warm 300 ml;3760268173409
Chloroseptine Savon désinfectant 1 L;3760087151572
Chlorure de Sodium 0,9 % 2 L;
Chlorure de Sodium 0,9 % 5 L;
Chondro / B 90 cp;3760151730504
Chrysanthellum Americanum 1 kg;3760268171238
CicaPhyt 15 ml;
CicaPhyt Baume 250 g;
CicaPhyt Baume 50 g;
CicaVet 30 ml;3401160252556
Cicabom 200 ml;3552792278466
Cicaderm Baume 100 ml;3401162433243
Cicafolia 30 ml;3760098110407
Cicalait 1 L;3401177501647
Cicaphyt Spray 100 ml;
Cicargile 1,3 kg;3760268172549
Compagel 250 g;
Contrecoup 500 ml;3760268170576
Contuvet 30 ml;3401160252563
Corebral 50 ml;
Correct'It 30 cp;3760151730146
Cothivet 100 ml;
Cothivet 30 ml;
CottonGee 2 cotons 40 x 60;3661716909536
Cremassyl 250 ml;3401177501708
Curcuma 1 kg;3760268170873
Curcuma 500 ml;3401545125826
Curcuma Flex 1 L;3760268173447
Cutagel 200 g;7640118650471
Cutaphyt Baume 250 ml;3760268172891
Cutosyl 200 g;
Cynorrhodon 1 kg;3760268172020
Cyprès 500 ml;3401543693051
DentalPlak 50 g;3760151730467
Depo-Medrol 5 ml;
Der Miloa 30 ml;
Dermidol 2,5 L;
Dermidol 750 ml;
Dermit-S'Top 500 ml;3401179443426
DermoSoft 500 ml;3661716110079
Dermocare 2 L;3760235630065
Desmodium 500 ml;3401543693112
Detox Duo 1 L;
Detox Duo 500 ml;
Dexadreson 50 ml;
Dexafort 50 ml;
Dexalone 100 ml;
Dexazone 50 ml;3597132104128
Digest Regul 230 cp;
Digest Regul 60 cp;
Dilatérol 355 ml;8718469441676
Diurepar 1,5 kg;3401160155833
Diurepar 4,5 kg;3401160155857
Diurizone 50 ml;
Doloflamil 60 cp;3701145680092
Doloflamil Gel 125 ml;3700593400276
Drainosyl 1 L;
Démangeaison + 50 ml;3700215100423
Easy Race 1 L;
Easypill Chat Confort Urinaire 30 cp;3760302730001
Easypill Chat Renal Protect 30 cp;3401160094835
Easypill Chat Resolvin Articulations 30 cp;3401141363639
Easypill Chat Senior 30 cp;3401161200761
Easypill Chien Renal Protect 6 barres;3401160094828
Easypill Chien Resolvin Convalescence 6 barres;3401141363400
Easypill Chien Senior 6 Barres;3401561368061
Easypill Chien Transit 6 barres;3401195832914
Eazi-Care 20 x 40 cm;5390998003097
Echinacee 1 kg;3760268170880
Echinacée 500 ml;3401543693280
Ekybleed 490 g;3401196948959
Ekyflex Arthro Evo 450 g;3515650002801
Ekyflex Mobility 1 L;3401144565764
Ekyflex Nodolox 600 g;3401198670025
Ekyflex Tendon 600 g;3401197008683
Ekygard 2,4 kg;3515657752440
Ekylaxyl 250 ml;3401146967603
Ekymash Booster 1 L;3401146657597
Ekzalin Gel Crème 250 ml;3700215100997
Eleutherocoque 1 kg;3760268171702
Elitoxine 500 ml;3760268172136
Encens Serrata 1 kg;3701458817512
Energidex 500 ml;
Energy Supp 60 cp;
Epileptyl 30 ml;
Equest;
Equest Pramox;
Equibaume 400 ml;3401177758560
Equimax;
Equimucin 2 G Sachet;4042668304379
Equimyl 500 ml;3597133073065
Equin Cade 500 ml;3760235630294
Equinasal 200 ml;3760268170866
Equioxx 60 comprimés;3515650160167
Equipalazone 1 g Sachet;5701170427257
Equipulm Sirop 250 ml;
Equipulm Sirop 500 ml;
Equipulmin Gel 355 ml;4042668016562
Equivent 1L;5391504340187
Eraquell;
Erygeron du Canada 1 kg;3701458817383
Eschscholtzia 500 ml;3401543695932
Eskarotik 130 ml;3401129576990
Essential 6 Spot-On 20 > 40 kg 4 pipettes;3760098110032
Essential Mousse 150 ml;3760098110094
Essential Mousse 150 ml;3760098110087
Eucalyptus 1 kg;3760268172037
Excell E 250 ml;
Fenugrec 1 kg;3760268170446
Fenugrec 1 kg;3701458816706
Feuilles de Myrtille 1 kg;3760268174116
Ficoblist 250 ml;3401160161759
Ficomag 1,3 kg;3401160155888
Finadyne Pâte Seringue 10 g;
Flex On 10 cm x 4,50 m;3661716909086
Flore Process 5 seringues;
Florequin Seringue 25 ml;
Florequin Solution 200 ml;
Floréquilibre CVX 30 x 3 g;3760066670001
Floréquilibre Initial 30 gélules;3701145680078
Flunixyl 250 ml;5023534011880
Fluodrop 0,4 ml;
Fluorescéine Faure 0,5 % 0,4 ml;
Fly Neutral 500 ml;3760268170699
Flymax N'Tick 1 L;3515657760001
Fortiphytol 30 cp;3760235630225
Forudine 15 g;
Fucus France 1 kg;3701458816492
Fucus Vesiculosus 250 g;
Fumeterre 500 ml;3401547004099
Gaillet Gratteron 1 kg;3760268172044
Galega 1 kg;3701458816294
Gamma-Ory 90 g;
Garlicmix 1 kg;3760268170644
Garnica Cambogia 1 kg;3701458816225
Gastricalm + 1,5 kg;
Gastricalm Solution 480 ml;3760174590833
Gastrimild 30 cp;3760066670018
Gattilier 1 kg;
Gattilier 1 kg;3760268171047
Gattilier 500 ml;3401546286816
Gel aux Huiles Essentielles 60 ml;3401160252570
Gel d'Aloe Verra 500 ml;
Gemberpoeder 1 kg;8719325375046
Genabiline 100 ml;
Gentamicine 40 mg ampoule de 2 ml;
Gentiane 500 ml;3401543693341
Gingembre 1 kg;3701458815600
Ginkgo Biloba 1 kg;3760268172051
Ginseng 500 ml;3401544650268
Glucomix 1 kg;3760268171764
Glucose 33 % 500 ml;
Glucose 5 % 500 ml;
Goudron Végétal Semi-liquide 500 ml;3760268173782
Graine de Chia 1 kg;3760268171658
Graines de Lin 1 kg;3760268172594
Graines de Lin Pre-cuites 1 kg;3760268174161
Grande Camomille 500 ml;3401543693570
Grapex 50 ml;7640158461464
Green Cold Gel 1 L;3401160144059
Greenphlo 500 ml;3401177502187
Griffonia 500 ml;3401595633258
Guarana 500 ml;3401546286694
Guimauve 1 kg;3760268172068
Gymnema Sylvestris 1 kg;3701468814993
HaarlemCaps 40 capsules;3615640000043
Hamamélis 500 ml;3401548035757
Harpago + 500 g;3401144404926
Harpagophytum 1 kg;
Harpagophytum 1 kg;3701458814801
Harpagophytum Pur 1 kg;3760268170958
Hemoclar 0,5 % 30 g;3400930479308
Hemopar 1 L;7640118650952
Hemostatyl 30 ml;
Hepa Supp 230 cp;
Hepagreen 30 cp;3760235630262
Hepagreen 30 cp;
Hippercorne 500 ml;3760268170262
Hippiagreen Mobilité 1,2 kg;3760235630409
Hippiagreen Respiratoire;3760235630393
Hippo Tiques 500 ml;3760268171535
Hippo Verrues 200 ml;3760268170859
Hippocrampes 500 ml;
Hippoderm Baume 500 ml;3760268172785
Hippoderm Spray 200 ml;3760268172792
Hippotares 300 g;3760268175427
Hoof Biotine 1 kg;3401175656332
Hoof Clean 200 ml;3760268170255
Hoofcare 500 g;
Horse-Cox 420 g;3700215101000
Hot Lotion 500 ml;3401162632615
Huile de Cade prête à l'emploi 500 ml;3760268170316
Huile de Cedre 500 ml;3760268170507
Huile de Foie de Morue;3760268172006
Huile de Haarlem 250 ml;3401196948898
Huile de Laurier 200 ml;3760268170286
Huile de Laurier 500 ml;3760268170293
Huile de Lin 1L;3661716104122
Huile de Paraffine Fluide 10 L;
Huile de Paraffine Fluide 5 L;
Hydrolat de Camomille 200 ml;
Hymunox 900 g;
Hymunox Foal 400 ml;
Hysope 1 kg;3701458814488
Hépatyl 30 ml;
Ice Relax 300 ml;3760268173492
Imaveral 100 ml;3515652002007
Immune Supp 230 cp;
Immune Supp 60 cp;
Immuno RS 1 kg;3401196950150
Inflacam 330 mg Sachet;5099299032682
Inhalvet 10 ml;3401160252587
Intramicine 250 ml;
Kentucky Karon Oil 4,54 L;5390998010255
Keravita 30 cp;3760098110414
Ketamidor 50 ml;
Kistler;
Knoflook 1 kg;8719324584890
Kruuse Manuka G 15 g;5703188260628
Leva-Carb Seringue 60 ml;3661716406035
Levure de Bière 1 kg;3760268173249
Levure de Bière 1 kg;3661716106188
Lidor 100 ml;
Lithamine Chat 30 cp;3760151730344
Lithamine Chien 30 Cp;3760151730030
Lithotamne 1 kg;3760268170941
Lurocaïne 100 ml;
MSM 100 % Pur 1 kg;3760268172709
Magnesio Calcique 500 ml;
Magnésium Chlorure 700 g;3760268172389
Mamibel Crème 150 ml;
Marfloquin 100 ml;
Marron d'Inde 500 ml;3401543693631
Marrube Blanc 1 kg;
Megaderl < 10 kg 28 sachets;3597133039566
Melaflon Spot On 50 ml;3700215100027
Melaflon Spray 300 ml;3700215100058
Melisse 1 kg;3760268172075
Mellodermal 100 ml;8718403361872
Mellodermal 15 ml;8718403361834
Melolin 10 x 10 cm;5000223417307
Menthe Poivrée 1 kg;3760268172082
Mepidor 10 ml;
Methio B12 50 ml;
Metronidazole 100 g;
Millepertuis 500 ml;3401543694003
Milpro Chat >2 kg;3597133066586
Milpro Chien > 5 kg;3597133066029
Mobility Supp 230 cp;
Mucuna 500 ml;3401595633319
MycoVet 30 ml;3401160252594
Mycoderm 200 ml;3401162434073
Myodazole 1 kg;
Myodazole Flash 1 L;
Myolactin 1,5 kg;
Myostem Mass 2,1 kg;3401195011005
Myostem Protec 900 ml;3401160004490
Mélange Spécial Elevage 15 kg;3401570976752
Mélange Spécial Elevage 2 kg;3401177502248
Mélange Spécial Entrainement 1,5 kg;3401177502477
Mélilot 500 ml;3401543693860
Mélisse 500 ml;3401543693921
Métryl 125 ml;
N.A.C. Collyre 5 ml;
Navitol 1 L;
Nefotek 250 ml;
Nephril Chat 200 g;
Nephril Chien 200 g;
Nervosyl 30 ml;
NexGard 2-4 kg;3661103044253
NexGard >10-25 kg;
NexGard >25-50 kg;4028691572695
NexGard >4-10 kg;
Nexen 200 g;
Nigelle 1 kg;3701458812043
Nurtene 2 kg;3515657547091
Nutri + 120 g;3700215100485
Octalys Biotella 5 kg;
Octalys Séliod 1L;
Octalys Vitalia 1 kg;
Oedex Sachet 20 g;3663777012644
Oligo Vital N°6 Démangeaisons 100 ml;3760103751236
Oligo Vital N°6 Démangeaisons 200 ml;3760103753049
Oligo Vital n°1 Articulations 100 ml;3760103751137
Oligo Vital n°2 Reminéralisation Peau 100 ml;3760103751151
Oligo Vital n°3 Défences Naturelles 100 ml;3760103751175
Oligo Vital n°4 Digestion 100 ml;3760103751199
Oligo Vital n°5 Croissance - Reproduction 100 ml;3760103751212
Oligo Vital n°7 Stress 100 ml;3760103751250
Oligo Vital n°8 Etat général 100 ml;3760103751274
Olivier 500 ml;3401543694171
Omega Supp 230 cp;
Omega Supp 60 cp;
Omega Supp 60 cp;
Oméga 3 6 9 1L;3661716104016
Onguent Liquide au Laurier Intersaison 500 ml;3760268175762
Onguent Noir (Cicaboom) 200 ml;
Onguent Noir Vésicatoire;
Onguent Nutrition au Laurier et à la Kératine 1 L;3760268170132
Onguent Nutrition à l'Huile de Laurier 1 L;3760268171818
Onguent Protection au Laurier et à l'Huile de Cade 1 L;3760268170194
Onguent Repair Liquide à la Kératine 500 ml;3760268174178
Ophtalon 5g;
Optiplaste - E 10 x 2,5 m;4042809043907
Ornipural Solution 100 ml;
Orthosiphon 500 ml;3401543694522
Ortie 1 kg;3760268170934
Ortie P.A. 500 ml;340154694461
Osteyl 1 L;
Osteyl 125 ml;
Ostéocynésine 100 cp;
OvaryStab 1 L;3661716105037
Oxytetracycline 10 % 250 ml;
Pad Pied 701;
Pad Pied 702;
Panacur Equine Guard 225 ml;
Panacur Pâte seringue 24 g;
Pangram 4 % 250 ml;
Papilloma 15 ml;3401160207990
Passiflore 500 ml;3401543694690
Pen-Hista-Strep 100 ml;
Penetavet Boite 10 flacons;
Penethaone poudre et solvant 36 ml;
Pensée Sauvage 500 ml;3401543694751
Pepticure Seringue;3515650480487
Performance Senior 3 kg;
Pernacox 90 cp;
Phenylarthrite 100 ml;
Phyto Derm 1 kg;3661716150075
Phyto Draineur 1 kg;3661716150013
Phyto Respir 1 kg;3661716150044
Phyto Robe 1 kg;3661716150082
Phyto Verrues;3661716150099
Phyto jument 1 kg;3661716150020
Phyto'Twin Aubépine Orthosiphon 30 cp;3701145680009
Phyto'Twin Cassis Reine des Prés 30 cp;3701145680016
Phyto'Twin Noyer Canelle 30 cp;3701145680030
Phyto'Twin Sureau Réglisse 30 cp;3701145680023
Phytolac 125 ml;
Picri-Baume Baume 150 ml;3661716403027
Picri-Baume Spray 100 ml;3661716403034
Piloderm plus 25 ml;
Piloselle 500 ml;3401543694812
Pin Sylvestre 500 ml;3401543694980
Pissenlit 1 kg;3760268170927
Pissenlit 500 ml;3401543695062
Plantain 1 kg;3760268171191
Plantain Lancéolé 500 ml;3401543695123
Post Act Process 500 g;
Potencil 50 ml;
Povidum Scrub 750 ml;3401196492971
Povidum Solution 750 ml;3401196492742
Prele des Champs 1 kg;3760268170910
Previcox 57 mg 60 comprimés;4028691562887
Previcox 57 mg Tablette de 10 comprimés;4028691562238
Probiotic 120 gélules;3700215100478
Procardyl 120 g;
Proteostress 36 capsules;3701145680061
Prozym Plaque Off 40 g;
Prêle 500 ml;3401543695291
Psyllium Husk 1 kg;
Psylocare 1 kg;
Pulvirex 10 ml;
PyoClean Mousse 150 ml;3760098110575
PyoClean Oto 20 doses;3760098110377
PyoClean Shampoo 200 ml;3760098110452
PyoClean Spray 50 ml;3760098110421
PyoSpot 0 > 10 kg 4 Pipettes;3760098110322
PyoSpot 10 > 20 kg 4 pipettes;3760098110339
Quietis 30 ml;340116025257
Radis Noir 500 ml;3401543695352
Redplex + 1 L;3401147895851
Reglisse 1 kg;3760268172112
Regul Plus 1 L;3760268173362
Regulmix 1 kg;3760268172198
Reine des Prés 1 kg;3760268171207
Reine des Prés 500 ml;3401543695413
Reno Pro 230 cp;
Reparateur Pic;
Respyl 30 ml;
Rheumocam Solution Injectable 100 ml;0739090016720
Rheumocam Suspension Orale 250 ml;0739090019509
Rhodiole 500 ml;3401598378286
Rhumatyl GA 1 L;
Rhumatyl GA 125 ml;
Rhumatyl PA 30 ml;
Ringer Lactate 1 L Poche;
Ringer Lactate 100 ml Bouteille;
Ringer Lactate 250 ml Bouteille;
Ringer Lactate 250 ml Poche;
Ringer Lactate 5 L Poche;
Ringer Lactate 500 ml Bouteille;
Ringer Lactate 500 ml Poche;
Rotzelle 500 ml;3760268175472
Rydravet 1 L;3760174590499
Réglisse 500 ml;3401542032431
S'Top Blood 250 ml;3401179443075
S'Top Fly Collier Insectifuge;4840688
Sarapin 50 ml;3683080329680
Sarcoderm 50 ml;
Saule 500 ml;3401545125536
Saule Blanc 1 Kg;3760268173119
Scrofulaire 500 ml;3401545125765
Securiderm 30 cp;3760151730368
Securiderm 500 g;3760235630010
Securiderm 90 g;3760235630041
Securiderm Spray 250 ml;3760151730184
Sedivet 20 ml;
Sedochol 1 L;
Sedochol 5 L;
Sedomidine 20 ml;
Senephytol 10 cp;
Senephytol 30 cp;3760151730047
Senior-Vital 500 g;3700215100430
Shampessentiel Calmant 200 ml;
Shampessentiel Cicavet 200 ml;
Shampessentiel Physio 200 ml;
Shampessentiel Seborrhée 200 ml;
Shampoing Anti-Bacterien 500 ml;3760268175496
Shampoing Insectifuge 250 ml;3760235630027
Shampoing à la camomille 250 ml;3700215100751
Shampooing Naturel 250 ml;3760235630270
Shampooing Prurit 250 ml;3760179870022
Silver Massage Oil 100 ml;3760098110612
Smectol 500 g;3760174590741
Sofcanis B12 40 cp;03700545301118
Soffban Synthetic 10 cm x 2,7 m;4042809019490
Soin Des Oreilles 30 ml;3700215102199
Soin des Coussinets 30 ml;3700215100386
Soin des Yeux 20 ml;3700215102182
Spasmizole 100 ml;
Speciale 2411 500 ml;
Spirugel 50 ml;3701157600095
Spiruline 1 kg;3760268170897
Spiruline 500 g;3760268175588
Spiruline Vermicelles 500 g;3760268173157
Stimunvet 30 capsules;3401160200458
Stop'Verm 50 ml;3700215101925
Strongid;
Sunfree 30 ml;3760098110438
Sureau 500 ml;3401597537295
Sérénité 30 cp;3701145680054
T 61 50 ml;
Taurine 130 g;3700215100393
Teinture D'Iode 125 ml;
Tendilax Antiphlogistic 2 kg;3515650720729
Terre Marine 3 kg;3760268174031
Therios 750 mg plaquette 10 cp;
Thym 1 kg;3760268172884
Tifene Gel 150 ml;3401147898234
Tifene Pommade 250 ml;3401144942008
Tobrex 0,3% Collyre en solution;3400932805433
Tonivit 25 ml;5425030910078
Toraxin Aérosol 100 ml;
Toraxin Liquide 500 ml;3760174590628
Toraxin TG 800 g;
Transiregul 1 L;3661716106195
Transitonix 1 L;3661716406103
Transitonix 5 L;3661716406110
Transphytol 30 cp;3760151730160
Traumagreen 125 ml;3760235630355
Traumasedyl GA 1 L;
Traumasedyl GA 12 ampoules de 5 ml;
Traumasedyl PA 30 ml;
Trimega + 60 capsules;3760235630430
Tussilage pur 1 kg;3760268171221
Tétracaïne 1 % Collyre 0,4 ml;
Tévémyxine Collyre;
Ultra B 50 ml;
UrgoStart 15 x 20;
UtiZen 30 cp;3760098110278
Valeriane 500 ml;3401543695703
Valium Roche 5 ampoules;3400931112433
VenoRegul 1 L;
Ventipulmin Injectable 50 ml;
Ventipulmin Sirop;
Versikor 500 60 comprimés;3760056030129
Verveine 1 kg;
Vetebiol 400 g;3401196163239
Vetebiol Bovin 400 g;3401196162928
Vetecardiol 50 ml;
Veterinary Gamgee 30 cm;5010058065567
Vetidral 1 L;3515657919225
Vetoxil 750 g;
Vetoxil Flash 800 ml;
Vetoxil Flash Chien 30 ml;
Vetoxil Flash chat 5 ml;
Vetoxil PA 30 cp;
Vetoxil PA 90 cp;
Vetramil Pommade 10 g;
Vetramil Pommade 30 g;
Vetramil Spray 100 ml;
Vetramil Spray 20 ml;
Vigne rouge 500 ml;3401543695871
Vinaigre de Cidre de Normandie 2,5 L;3760268173966
Vit i5 Orange 250 g;3770001413167
Vita C effect 1 kg;
Vita C effect 100 g;
Vita-C Vetoquinol 50 ml;
Vitalité 30 cp;3701145680085
Vitamine C+ 500 g;3760268172716
Vétédine Savon 1 L;
Vétédine Solution 1 L;
WinterPad 50 ml;8009722001021
Wombyl GA 12 x 5 ml;
X-Stress 50 ml;3700215100416
Yoos S;3411112938872
Ysonis 20 ml;
Zen Miloa 50 ml;
Zen Supp 230 cp;
Zen Supp 60 cp;
Zenoquine 1 l;3760174592011
Zinc Oxyde Spray 200 ml;5391510237389
Zylkene Equine 1000 mg;3605874350878
Zylkène 225 mg 30 gélules;3605874350823
Zylkène 450 mg 30 gélules;3605874350847
Zylkène 75 mg 10 gélules;3605874350854
Zylkène 75 mg 30 gélules;3605874350861
Zzen Flash 60 ml;3515654024021